0,1,2,3,4,5,6,7,8,9,10,11,12
4526.0,30.0,78.0,4483.571428571428,38.57142857142857,61.142857142857146,-692.0,-2.0,-11.0,1.14,1.12,-0.0299999999999998,75.0
3252.0,13.0,47.0,2993.714285714286,15.285714285714286,40.142857142857146,573.0,-4.0,-25.0,1.22,1.2871428571428571,-0.02,62.04
6373.0,17.0,53.0,5537.285714285715,18.571428571428573,60.0,472.0,-5.0,5.0,1.11,1.1185714285714283,-0.03,62.04
4341.0,65.0,83.0,3413.1428571428573,61.85714285714285,63.71428571428572,-147.0,1.0,-22.0,1.14,1.0571428571428572,0.02,78.7
81.0,1.0,3.0,53.285714285714285,1.5714285714285714,1.1428571428571428,20.0,-1.0,-1.0,1.4,1.4314285714285713,-0.0899999999999998,39.81
431.0,1.0,3.0,285.7142857142857,1.1428571428571428,4.428571428571429,-65.0,0.0,3.0,1.2,1.2514285714285711,-0.0799999999999998,39.81
137.0,1.0,2.0,164.42857142857142,0.5714285714285714,1.5714285714285714,77.0,-1.0,0.0,1.4,1.342857142857143,-0.0699999999999998,39.81
77.0,3.0,0.0,71.14285714285714,2.571428571428572,2.142857142857143,-2.0,-1.0,4.0,1.19,0.9957142857142856,0.1400000000000001,39.81
42.0,-1.0,1.0,50.42857142857143,2.2857142857142856,0.8571428571428571,39.0,2.0,2.0,1.44,1.4357142857142855,-0.04,39.81
571.0,8.0,19.0,512.7142857142857,4.857142857142857,12.142857142857142,-61.0,-5.0,-12.0,1.21,1.147142857142857,0.08,50.93
2221.0,25.0,39.0,3759.714285714286,57.57142857142857,66.14285714285714,-477.0,58.0,17.0,1.02,0.9842857142857142,0.01,78.7
6965.0,87.0,98.0,8604.714285714286,73.0,103.14285714285714,277.0,31.0,-9.0,0.96,0.8899999999999999,0.03,65.74
146.0,14.0,27.0,193.28571428571428,34.0,33.714285714285715,-38.0,7.0,7.0,1.13,0.9342857142857144,-0.0499999999999998,71.3
164.0,2.0,3.0,187.0,7.714285714285714,5.285714285714286,46.0,7.0,2.0,0.8,1.0985714285714283,-0.05,62.96
8683.0,39.0,109.0,9801.0,55.42857142857143,98.42857142857144,-397.0,-10.0,-20.0,0.86,0.8457142857142858,0.01,62.04
8182.0,14.0,69.0,7654.428571428572,23.857142857142858,78.71428571428571,-190.0,3.0,15.0,1.03,1.0685714285714287,-0.04,62.04
9804.0,50.0,117.0,10018.0,53.71428571428572,98.42857142857144,-1121.0,-11.0,-8.0,0.86,0.8442857142857143,0.0,62.04
5634.0,89.0,92.0,5709.285714285715,76.42857142857143,85.14285714285714,457.0,-35.0,-5.0,1.0,0.9942857142857144,0.0,65.74
108.0,21.0,34.0,180.7142857142857,29.285714285714285,33.57142857142857,90.0,12.0,-20.0,1.08,0.9771428571428572,-0.1200000000000001,71.3
5322.0,50.0,80.0,4750.285714285715,38.285714285714285,71.85714285714286,704.0,-24.0,-1.0,1.09,1.1185714285714283,0.01,75.0
3011.0,13.0,46.0,2758.714285714286,14.571428571428571,34.714285714285715,283.0,0.0,2.0,1.26,1.2899999999999998,-0.02,62.04
5336.0,41.0,45.0,4504.0,37.142857142857146,59.0,-810.0,-11.0,33.0,1.16,1.1071428571428572,-0.02,75.0
868.0,122.0,210.0,1119.857142857143,120.57142857142856,216.0,-134.0,67.0,-22.0,0.74,0.7228571428571428,0.02,78.7
6026.0,26.0,79.0,4944.142857142857,37.42857142857143,72.14285714285714,370.0,-4.0,-21.0,1.1,1.11,0.0,75.0
103.0,1.0,-4.0,87.71428571428571,0.2857142857142857,0.8571428571428571,24.0,-3.0,5.0,1.26,1.2428571428571429,0.03,39.81
5874.0,58.0,53.0,5008.285714285715,50.85714285714285,62.57142857142857,647.0,-19.0,7.0,1.24,1.2328571428571429,0.0,56.48
10264.0,56.0,80.0,9692.857142857143,48.42857142857143,95.71428571428572,855.0,31.0,26.0,0.85,0.85,0.01,62.04
7398.0,47.0,107.0,8311.142857142857,87.71428571428571,96.42857142857144,-835.0,16.0,-35.0,0.88,0.9314285714285716,-0.04,78.7
4989.0,36.0,63.0,4163.285714285715,16.0,46.42857142857143,833.0,-23.0,-13.0,1.11,1.1557142857142857,0.01,62.04
734.0,189.0,188.0,1086.2857142857142,126.57142857142856,198.8571428571429,327.0,-8.0,-6.0,0.76,0.72,0.01,78.7
457.0,0.0,8.0,507.4285714285714,4.0,10.571428571428571,117.0,2.0,-4.0,1.15,1.0885714285714283,-0.01,50.93
969.0,147.0,308.0,990.7142857142856,153.57142857142858,368.0,244.0,1.0,-71.0,0.78,0.7585714285714287,-0.05,78.7
462.0,6.0,5.0,512.2857142857143,3.2857142857142856,8.0,272.0,-1.0,1.0,1.35,1.3514285714285712,0.01,50.93
6466.0,89.0,76.0,6413.857142857143,98.57142857142856,77.0,-457.0,5.0,0.0,0.95,0.9314285714285714,0.01,78.7
12779.0,75.0,95.0,9548.57142857143,59.85714285714285,73.42857142857143,-848.0,9.0,-10.0,0.91,1.0157142857142856,-0.01,78.7
